customerId,cohort_month,first_order_date,last_order_date,total_orders,total_revenue,avg_order_value,first_order_channel,first_order_amount,last_order_channel,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment,value_tier,behaviour_state,channel_group
18663613.9337289544,11,2020-11-13 23:57:12.515252 UTC,2020-11-13 23:57:12.515252 UTC,1,3.2e-05,3.2e-05,shop.googlemerchandisestore.com,3.2e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,At Risk,Internal / Self Referral
27672883.7917801712,12,2020-12-14 08:24:50.589683 UTC,2020-12-14 08:24:50.589683 UTC,1,3.2e-05,3.2e-05,shop.googlemerchandisestore.com,3.2e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,At Risk,Internal / Self Referral
8626279.3419238923,1,2021-01-25 00:42:13.918826 UTC,2021-01-25 00:42:13.918826 UTC,1,3.2e-05,3.2e-05,<Other>,3.2e-05,<Other>,4,4,4,444,Champions,Bronze,New,Other / Unknown
3047630756.3515974247,11,2020-11-03 19:39:58.902374 UTC,2020-11-03 19:39:58.902374 UTC,1,3.2e-05,3.2e-05,<Other>,3.2e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
5278589.0330428155,12,2020-12-10 16:58:13.579654 UTC,2020-12-10 16:58:13.579654 UTC,1,3.2e-05,3.2e-05,<Other>,3.2e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
20295806.6156999491,11,2020-11-25 10:14:05.430316 UTC,2020-11-25 10:14:05.430316 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
13106788.7513677357,12,2020-12-23 19:41:11.823638 UTC,2020-12-23 19:41:11.823638 UTC,1,3.2e-05,3.2e-05,<Other>,3.2e-05,<Other>,4,4,4,444,Champions,Bronze,At Risk,Other / Unknown
38686065.3125953359,11,2020-11-05 07:44:05.835798 UTC,2020-11-05 07:44:05.835798 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
94023659.9782845125,1,2021-01-20 08:50:16.729126 UTC,2021-01-20 08:50:16.729126 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,New,Unattributed (Consent Loss)
2233163.7526757311,12,2020-12-17 02:32:46.46622 UTC,2020-12-17 02:32:46.46622 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
8673800.8985723616,12,2020-12-13 03:36:29.012656 UTC,2020-12-13 03:36:29.012656 UTC,1,0.000342,0.000342,google,0.000342,google,1,4,1,141,At Risk,Platinum,At Risk,Search (Paid/Organic)
63900303.6682627760,12,2020-12-13 21:41:19.278334 UTC,2020-12-13 21:41:19.278334 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
4050591.4743585452,11,2020-11-03 05:25:11.568975 UTC,2020-11-03 05:25:11.568975 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
1655781.0131717336,12,2020-12-24 21:00:07.069755 UTC,2020-12-24 21:00:07.069755 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
42807268.6210242414,11,2020-11-12 20:49:54.786012 UTC,2020-11-12 20:49:54.786012 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
74208315.1089315761,12,2020-12-10 14:19:13.439643 UTC,2020-12-10 14:19:13.439643 UTC,1,0.000345,0.000345,shop.googlemerchandisestore.com,0.000345,shop.googlemerchandisestore.com,1,4,1,141,At Risk,Platinum,At Risk,Internal / Self Referral
3518681.5571822382,1,2021-01-22 16:49:40.288555 UTC,2021-01-22 16:49:40.288555 UTC,1,0.000347,0.000347,shop.googlemerchandisestore.com,0.000347,shop.googlemerchandisestore.com,1,4,1,141,At Risk,Platinum,New,Internal / Self Referral
55674966.6766215495,11,2020-11-06 23:46:08.91353 UTC,2020-11-06 23:46:08.91353 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,At Risk,Unattributed (Consent Loss)
80818976.3243168408,1,2021-01-25 06:24:11.757028 UTC,2021-01-25 06:24:11.757028 UTC,1,3.2e-05,3.2e-05,(data deleted),3.2e-05,(data deleted),4,4,4,444,Champions,Bronze,New,Unattributed (Consent Loss)
