customerId,first_order_date,last_order_date,total_orders,total_revenue,first_order_channel,first_order_amount,last_order_channel
2861916.5058017546,2020-11-13 02:10:18.418678 UTC,2020-11-13 02:10:18.418678 UTC,1,0.000143,(data deleted),0.000143,(data deleted)
3178736.6661466531,2020-11-25 05:48:09.676379 UTC,2020-11-25 05:48:09.676379 UTC,1,2e-05,<Other>,2e-05,<Other>
3517925.3227970426,2021-01-07 16:54:03.875555 UTC,2021-01-07 16:54:03.875555 UTC,1,0.00011,google,0.00011,google
35482474.3482133405,2020-12-03 10:04:19.105756 UTC,2020-12-03 10:04:19.105756 UTC,1,0.000149,<Other>,0.000149,<Other>
4042858.3888779946,2020-11-24 07:03:40.951766 UTC,2020-11-24 07:03:41.008761 UTC,2,0.000142,(direct),7.1e-05,(direct)
40812828.6666611837,2021-01-22 10:25:44.992976 UTC,2021-01-22 10:25:44.992976 UTC,1,0.000102,<Other>,0.000102,<Other>
4267777.0729523939,2020-12-12 06:31:32.098816 UTC,2020-12-12 06:31:32.098816 UTC,1,0.000155,(data deleted),0.000155,(data deleted)
44080603.5651121314,2020-12-09 22:51:47.624792 UTC,2020-12-09 22:51:47.624792 UTC,1,0.000361,<Other>,0.000361,<Other>
44827519.0721046563,2020-12-04 13:45:20.735436 UTC,2020-12-04 13:45:20.735436 UTC,1,1.1e-05,<Other>,1.1e-05,<Other>
4487780.9759536757,2020-11-23 13:53:03.874571 UTC,2020-11-23 13:53:03.897824 UTC,2,2.6e-05,<Other>,1.3e-05,<Other>
4496984646.3938240261,2020-12-10 12:05:40.033581 UTC,2020-12-10 12:05:40.033581 UTC,1,3.9e-05,google,3.9e-05,google
4708662.4152953682,2020-12-04 16:34:47.947443 UTC,2020-12-04 16:34:47.947443 UTC,1,8.8e-05,google,8.8e-05,google
48021850.9548849913,2020-11-03 20:34:19.083021 UTC,2020-11-03 20:34:19.083021 UTC,1,4.7e-05,(direct),4.7e-05,(direct)
4808186.2033160499,2020-11-12 18:59:36.693296 UTC,2020-11-12 18:59:36.693296 UTC,1,1.6e-05,<Other>,1.6e-05,<Other>
49777952.2680869968,2020-11-17 20:46:44.189439 UTC,2020-11-17 20:46:44.189439 UTC,1,0.000188,shop.googlemerchandisestore.com,0.000188,shop.googlemerchandisestore.com
4987157.9547809982,2020-12-10 11:39:57.425292 UTC,2020-12-10 11:39:57.425292 UTC,1,3.3e-05,shop.googlemerchandisestore.com,3.3e-05,shop.googlemerchandisestore.com
50924450.1711753621,2020-11-03 22:29:17.328429 UTC,2020-11-03 22:29:17.328429 UTC,1,5.4e-05,shop.googlemerchandisestore.com,5.4e-05,shop.googlemerchandisestore.com
5924938.3864146348,2020-12-03 06:28:33.721224 UTC,2020-12-03 06:28:33.721224 UTC,1,3.2e-05,<Other>,3.2e-05,<Other>
5929298.3495046149,2020-12-08 11:37:05.576244 UTC,2020-12-08 11:37:05.576244 UTC,1,4e-05,google,4e-05,google
6008274.6681672862,2021-01-15 18:15:20.592488 UTC,2021-01-15 18:15:20.592488 UTC,1,5.2e-05,google,5.2e-05,google
61090488.9613703457,2021-01-20 06:56:50.898333 UTC,2021-01-20 06:56:50.898333 UTC,1,0.00013,google,0.00013,google
61604299.4464644285,2020-12-12 02:36:37.367878 UTC,2020-12-12 02:36:37.367878 UTC,1,1.8e-05,<Other>,1.8e-05,<Other>
61878973.9611156034,2020-12-18 09:45:14.655175 UTC,2020-12-18 09:45:14.655175 UTC,1,4.7e-05,google,4.7e-05,google
6295459.5314511143,2020-12-22 07:04:34.380314 UTC,2020-12-22 07:04:34.380314 UTC,1,6.8e-05,<Other>,6.8e-05,<Other>
7127030.2823157340,2021-01-26 02:24:43.476603 UTC,2021-01-26 02:24:43.476603 UTC,1,2.4e-05,google,2.4e-05,google
77739287.4913869284,2020-12-17 17:19:19.808564 UTC,2020-12-17 17:19:19.808564 UTC,1,5.4e-05,(direct),5.4e-05,(direct)
7808489.0343492791,2020-11-17 07:02:53.003132 UTC,2020-11-17 07:02:53.003132 UTC,1,2.9e-05,<Other>,2.9e-05,<Other>
78774008.6201015241,2020-12-11 01:26:32.471138 UTC,2020-12-11 01:26:32.471138 UTC,1,6.1e-05,<Other>,6.1e-05,<Other>
